Otu,Domain,Phylum,Order,Class,Family,Genus,Species
Otu1,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Agathobacter,rectalis
Otu10,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Ruminococcus,bromii
Otu1001,Bacteria,Actinobacteriota,na,na,na,na,na
Otu1002,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu1003,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1030,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1032,Bacteria,Firmicutes,Oscillospirales,Clostridia,Hydrogenoanaerobacterium,na,na
Otu104,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1048,Bacteria,na,na,na,na,na,na
Otu1053,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1057,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1060,Bacteria,Firmicutes,Lachnospirales,Clostridia,na,na,na
Otu1061,Bacteria,na,na,na,na,na,na
Otu1067,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu107,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales,Clostridia,Peptostreptococcaceae,Intestinibacter,na
Otu108,Bacteria,Firmicutes,Oscillospirales,Clostridia,Oscillospiraceae,Colidextribacter,na
Otu1082,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1085,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NK4A136 group,na
Otu109,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1093,Bacteria,Firmicutes,na,na,na,na,na
Otu11,Bacteria,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Bacteroides,uniformis
Otu110,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Coprococcus,na
Otu1108,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu111,Bacteria,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,Veillonellaceae,Veillonella,na
Otu1133,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales,Clostridia,Anaerovoracaceae,[Eubacterium] saphenum group,na
Otu1139,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu1149,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NC2004 group,na
Otu115,Bacteria,Firmicutes,Oscillospirales,Clostridia,Butyricicoccaceae,Butyricicoccus,na
Otu1150,Bacteria,Actinobacteriota,na,Actinobacteria,na,na,na
Otu1156,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1160,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu1164,Bacteria,Proteobacteria,Burkholderiales,Gammaproteobacteria,Sutterellaceae,Parasutterella,na
Otu1165,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,UCG-001,na
Otu1166,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Eggerthellaceae,na,na
Otu1167,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu117,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae UCG-010,na
Otu1174,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1177,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NK4A136 group,na
Otu118,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1180,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NC2004 group,na
Otu1187,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu12,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu120,Bacteria,Proteobacteria,Enterobacterales,Gammaproteobacteria,na,na,na
Otu1209,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,na,na
Otu121,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1210,Bacteria,Firmicutes,na,na,na,na,na
Otu1213,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1219,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu122,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Ruminococcus,na
Otu123,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Candidatus Stoquefichus,na
